z_threshold,20,30,45,60
1.5,-0.758,-0.634,-0.652,-0.604
2.0,-0.589,-0.575,-0.758,0.775
2.5,0.064,-0.55,0.182,0.824
3.0,-0.065,-0.206,0.172,0.418
