z_threshold,20,30,45,60
1.5,0.301,0.23,-0.253,-0.032
2.0,1.247,0.633,-0.26,-0.204
2.5,0.677,0.651,0.204,-0.158
3.0,0.629,0.588,0.663,-0.008
