pair,direction,entry_date,exit_date,entry_price1,entry_price2,exit_price1,exit_price2,entry_zscore,exit_zscore,notional,hold_days,gross_pnl,total_costs,net_pnl,exit_reason
SPY_IVV,SHORT_L1,2024-06-03,2024-06-07,515.2601,516.7776,521.3226,523.0536,1.921,0.027,318836.07,4,129.51,357.22,-227.71,reversion
SPY_IVV,SHORT_L1,2024-06-20,2024-07-02,534.0039,535.5807,537.6953,539.4612,2.616,0.28,358354.53,12,119.61,401.5,-281.89,reversion
SPY_IVV,SHORT_L1,2024-07-31,2024-08-02,539.4583,540.8394,521.9173,523.6852,3.308,-0.178,215132.55,2,165.29,241.01,-75.73,reversion
SPY_IVV,LONG_L1,2024-08-21,2024-08-23,549.066,551.2394,550.5448,552.4808,-1.88,-0.043,134997.94,2,58.0,151.23,-93.23,reversion
SPY_IVV,SHORT_L1,2024-09-10,2024-09-12,537.4799,539.0604,547.5676,549.4897,2.575,0.084,193930.98,2,124.28,217.26,-92.98,reversion
SPY_IVV,LONG_L1,2024-09-30,2024-10-01,563.6589,566.0046,558.6093,560.6567,-2.539,-0.234,214974.58,1,112.23,240.84,-128.61,reversion
SPY_IVV,SHORT_L1,2024-11-11,2024-11-14,588.2186,590.3102,582.904,585.0506,1.504,0.009,215275.41,3,28.14,241.18,-213.03,reversion
SPY_IVV,LONG_L1,2024-11-18,2024-11-19,577.7955,580.0267,579.9076,582.048,-1.623,-0.167,207773.95,1,34.63,232.77,-198.14,reversion
SPY_IVV,SHORT_L1,2024-11-25,2024-12-06,587.0104,588.9658,597.1094,599.3769,2.278,-0.203,212051.45,11,99.47,237.56,-138.09,reversion
SPY_IVV,LONG_L1,2024-11-26,2024-12-06,590.0754,592.4395,597.1094,599.3769,-1.885,-0.203,211974.55,10,41.03,237.48,-196.45,reversion
