z_threshold,20,30,45,60
1.5,-0.511,-0.113,0.231,-0.717
2.0,-0.398,-0.461,1.624,-0.721
2.5,-0.545,0.159,1.197,-0.074
3.0,0.511,0.099,0.291,-0.173
