z_threshold,20,30,45,60
1.5,-1.302,-0.591,-0.98,-0.843
2.0,-0.24,0.223,-0.614,-0.703
2.5,1.189,-0.162,-0.869,-0.131
3.0,0.279,0.169,-0.461,-0.494
